"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda"
"111",6512,"Apartamento com 2 Quartos a  Venda, 50m2","Rua Veranopolis",491,"Passo da Areia",50,2,1,0,159000,3180,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,11.9766597747803,3969,2.29857707023621
"112",5705,"Apartamento com 2 Quartos a  Venda, 78m2","Rua Doutor Jose Bento Correa",9999,"Petropolis",78,2,2,0,266000,3410.25641025641,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,12.4912519454956,3969,3.01406311988831
"113",6352,"Apartamento com 2 Quartos a  Venda, 60m2","Avenida Benjamin Constant",1366,"Floresta",60,2,2,0,230000,3833.33333333333,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.3458347320557,3969,2.51688981056213
"114",6259,"Apartamento com 3 Quartos a  Venda, 70m2","Rua dos Andradas",868,"Centro Historico",70,3,2,0,350000,5000,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.7656888961792,3969,2.53449010848999
"115",1905,"Apartamento com  Quarto a  Venda, 39m2","Rua Max Juniman",70,"Humaita",39,1,1,0,98000,2512.82051282051,4314902066,904,863.41929321872,34,25.1,417,10470,6,11.4927225112915,1156,1.7917594909668
"116",7437,"Apartamento com 3 Quartos a  Venda, 72m2","Avenida Brasil",867,"Sao Joao",72,3,2,0,218000,3027.77777777778,4314902046,1799,1358.96661127058,63,26.9,492,13238,12.14,12.2922506332397,3969,2.49650573730469
"117",1502,"Apartamento com  Quarto a  Venda, 24m2","Rua General Joao Telles",94,"Bom Fim",24,1,2,0,175000,7291.66666666667,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.0725412368774,3969,2.76001000404358
"118",2175,"Apartamento com  Quarto a  Venda, 36m2","sem info",9999,"Centro Historico",36,1,1,0,249900,6941.66666666667,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.4288158416748,3969,2.53449010848999
"119",6521,"Apartamento com  Quarto a  Venda, 40m2","Rua Cipo",625,"Passo da Areia",40,1,1,0,180000,4500,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.1007118225098,3969,2.29857707023621
"120",6881,"Apartamento com  Quarto a  Venda, 27m2","sem info",9999,"Centro Historico",27,1,1,0,135001,5000.03703703704,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,11.8130378723145,3969,2.53449010848999
"121",441,"Apartamento com  Quarto a  Venda, 64m2","Avenida Alberto Bins",820,"Floresta",64,1,1,0,275000,4296.875,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.5245265960693,3969,2.51688981056213
"122",4372,"Apartamento com 2 Quartos a  Venda, 85m2","Avenida Osvaldo Aranha",9999,"Bom Fim",85,2,1,0,247000,2905.88235294118,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.4171438217163,3969,2.76001000404358
"123",3394,"Apartamento com 2 Quartos a  Venda, 70m2","Rua Coronel Bordini",690,"Auxiliadora",70,2,2,0,360000,5142.85714285714,4314902045,770,771.156735102654,63,121.8,82,9985,19.57,12.7938594818115,3969,2.9739978313446
"124",5584,"Apartamento com 2 Quartos a  Venda, 75m2","Rua Ramiro Barcelos",1901,"Bom Fim",75,2,2,0,365000,4866.66666666667,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.8076524734497,3969,2.76001000404358
"125",5865,"Apartamento com 2 Quartos a  Venda, 57m2","Rua Padre Hildebrando",649,"Passo da Areia",57,2,1,0,189000,3315.78947368421,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.1495027542114,3969,2.29857707023621
"126",8572,"Apartamento com  Quarto a  Venda, 35m2","sem info",9999,"Centro Historico",35,1,1,0,190000,5428.57142857143,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.1547794342041,3969,2.53449010848999
"127",4954,"Apartamento com 2 Quartos a  Venda, 67m2","Rua General Vitorino",164,"Centro Historico",67,2,1,0,196000,2925.37313432836,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.1858701705933,3969,2.53449010848999
"128",5899,"Apartamento com  Quarto a  Venda, 43m2","Rua Joaquim Nabuco",378,"Cidade Baixa",43,1,1,0,308000,7162.79069767442,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.6378555297852,3969,2.41591382026672
"129",2108,"Apartamento com 2 Quartos a  Venda, 32m2","Rua Joao Alfredo",286,"Cidade Baixa",32,2,1,0,130000,4062.5,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,11.7752895355225,3969,2.41591382026672
"130",2427,"Apartamento com  Quarto a  Venda, 44m2","sem info",9999,"Cidade Baixa",44,1,1,0,220000,5000,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.3013830184937,3969,2.41591382026672
"131",1183,"Apartamento com 2 Quartos a  Venda, 63m2","Rua Humberto de Campos",681,"Partenon",63,2,1,0,149000,2365.07936507937,4314902015,2817,593.552465233881,36,83.3,570,47460,7.54,11.9117012023926,1296,2.02022218704224
"132",3365,"Apartamento com 2 Quartos a  Venda, 62m2","sem info",9999,"Bom Fim",62,2,2,0,340000,5483.87096774194,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.7367010116577,3969,2.76001000404358
"133",2685,"Apartamento com 2 Quartos a  Venda, 56m2","Rua Cassio de Medeiros",29,"Tristeza",56,2,1,0,150000,2678.57142857143,4314902026,965,638.01652892562,63,57.3,264,15125,14.57,11.9183902740479,3969,2.67896461486816
"134",6986,"Apartamento com  Quarto a  Venda, 26m2","Avenida Juca Batista",410,"Mont' Serrat",26,1,1,0,390000,15000,4314902044,432,422.039859320047,63,129.6,79,10236,24.07,12.8739023208618,3969,3.18096613883972
"135",4139,"Apartamento com 2 Quartos a  Venda, 85m2","Rua Riachuelo",1521,"Centro Historico",85,2,2,0,330000,3882.35294117647,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.7068481445312,3969,2.53449010848999
"136",8839,"Apartamento com 2 Quartos a  Venda, 74m2","Avenida Andarae",276,"Passo da Areia",74,2,1,0,230000,3108.10810810811,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.3458347320557,3969,2.29857707023621
"137",601,"Apartamento com  Quarto a  Venda, 42m2","Rua Professor Joao de Souza Ribeiro",711,"Humaita",42,1,1,0,113000,2690.47619047619,4314902066,904,863.41929321872,34,25.1,417,10470,6,11.6351432800293,1156,1.7917594909668
"138",8350,"Apartamento com  Quarto a  Venda, 50m2","sem info",9999,"Centro Historico",50,1,1,0,2e+05,4000,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.206072807312,3969,2.53449010848999
"139",9187,"Apartamento com 2 Quartos a  Venda, 65m2","Rua Grao Para",9999,"Menino Deus",65,2,1,0,3e+05,4615.38461538462,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.6115379333496,3969,2.74727082252502
"140",1117,"Apartamento com 2 Quartos a  Venda, 81m2","Avenida Protasio Alves",2195,"Petropolis",81,2,1,0,255000,3148.14814814815,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,12.4490184783936,3969,3.01406311988831
"141",4830,"Apartamento com 2 Quartos a  Venda, 66m2","Avenida a‰rico Veressimo",441,"Menino Deus",66,2,1,0,379000,5742.42424242424,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.8452911376953,3969,2.74727082252502
"142",71,"Apartamento com  Quarto a  Venda, 37m2","Avenida Senador Salgado Filho",111,"Centro Historico",37,1,1,0,150000,4054.05405405405,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,11.9183902740479,3969,2.53449010848999
"143",9920,"Apartamento com 2 Quartos a  Venda, 54m2","sem info",9999,"Vila Nova",54,2,1,0,149900,2775.92592592593,4314902032,1416,427.213757731181,63,32.1,1031,33145,5.35,11.9177236557007,3969,1.6770966053009
"144",5455,"Apartamento com 3 Quartos a  Venda, 131m2","Rua Garibaldi",812,"Independencia",131,3,1,0,398000,3038.1679389313,4314902039,801,1250.19509911035,63,160.2,40,6407,21.98,12.8942070007324,3969,3.09013295173645
"145",8792,"Apartamento com  Quarto a  Venda, 27m2","Avenida dos Cubanos",146,"Partenon",27,1,1,0,3e+05,11111.1111111111,4314902015,2817,593.552465233881,36,83.3,570,47460,7.54,12.6115379333496,1296,2.02022218704224
"146",8660,"Apartamento com  Quarto a  Venda, 31m2","Avenida Joao Pessoa",1091,"Farroupilha",31,1,1,0,180000,5806.45161290323,4314902005,1087,9872.84287011807,63,19.3,57,1101,16.66,12.1007118225098,3969,2.81301069259644
"147",2666,"Apartamento com  Quarto a  Venda, 47m2","Avenida a‰rico Veressimo",441,"Menino Deus",47,1,1,0,260000,5531.91489361702,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.4684371948242,3969,2.74727082252502
"148",4337,"Apartamento com 4 Quartos a  Venda, 79m2","Rua Otavio Dutra",41,"Menino Deus",79,4,2,0,380000,4810.12658227848,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.8479261398315,3969,2.74727082252502
"149",6821,"Apartamento com 2 Quartos a  Venda, 47m2","Avenida A. J. Renner",1800,"Humaita",47,2,1,0,149000,3170.21276595745,4314902066,904,863.41929321872,34,25.1,417,10470,6,11.9117012023926,1156,1.7917594909668
"150",7290,"Apartamento com 2 Quartos a  Venda, 68m2","Rua Alberto Torres",111,"Cidade Baixa",68,2,1,0,340000,5000,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.7367010116577,3969,2.41591382026672
"151",9227,"Apartamento com 3 Quartos a  Venda, 147m2","sem info",9999,"Floresta",147,3,3,0,648000,4408.16326530612,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,13.381646156311,3969,2.51688981056213
