"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda","rendaalta","central","grande","pequeno","novo","counter"
"5118",5762,"Apartamento com 2 Quartos a  Venda, 89m2","Rua Barao do Amazonas",9999,"Partenon",89,2,2,2,615000,6910.11235955056,20,2817,593.552465233881,36,83.3,570,47460,7.54,13.3293771743774,1296,2.02022218704224,0,0,0,0,0,186
"5119",1676,"Apartamento com 2 Quartos a  Venda, 65m2","Rua Waldomiro Schapke",962,"Partenon",65,2,2,1,393000,6046.15384615385,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8815650939941,1296,2.02022218704224,0,0,0,0,0,186
"5120",6540,"Apartamento com  Quarto a  Venda, 53m2","Rua Guilherme Alves",9999,"Partenon",53,1,1,1,170000,3207.54716981132,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.043553352356,1296,2.02022218704224,0,0,0,0,0,186
"5121",4288,"Apartamento com 3 Quartos a  Venda, 71m2","sem info",9999,"Partenon",71,3,2,0,384990,5422.39436619718,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.86097240448,1296,2.02022218704224,0,0,0,0,0,186
"5122",7635,"Apartamento com  Quarto a  Venda, 43m2","sem info",9999,"Partenon",43,1,1,1,260000,6046.51162790698,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4684371948242,1296,2.02022218704224,0,0,0,0,0,186
"5123",5136,"Apartamento com 2 Quartos a  Venda, 64m2","sem info",9999,"Partenon",64,2,1,1,305000,4765.625,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.6280670166016,1296,2.02022218704224,0,0,0,0,0,186
"5124",2375,"Apartamento com 2 Quartos a  Venda, 85m2","Avenida Bento Goncalves",2134,"Partenon",85,2,1,0,259000,3047.05882352941,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4645833969116,1296,2.02022218704224,0,0,0,0,0,186
"5125",590,"Apartamento com 3 Quartos a  Venda, 70m2","Rua Frei Germano",9999,"Partenon",70,3,2,2,489000,6985.71428571429,20,2817,593.552465233881,36,83.3,570,47460,7.54,13.1001176834106,1296,2.02022218704224,0,0,0,0,0,186
"5126",2722,"Apartamento com 3 Quartos a  Venda, 77m2","Rua Eucledes Miranda",255,"Partenon",77,3,1,0,260000,3376.62337662338,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4684371948242,1296,2.02022218704224,0,0,0,0,0,186
"5127",4988,"Apartamento com 3 Quartos a  Venda, 70m2","Avenida Bento Goncalves",205,"Partenon",70,3,2,1,370000,5285.71428571429,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8212585449219,1296,2.02022218704224,0,0,0,0,0,186
"5128",8286,"Apartamento com 3 Quartos a  Venda, 85m2","Rua Portuguesa",460,"Partenon",85,3,1,2,517000,6082.35294117647,20,2817,593.552465233881,36,83.3,570,47460,7.54,13.155797958374,1296,2.02022218704224,0,0,0,0,0,186
"5129",7583,"Apartamento com 2 Quartos a  Venda, 67m2","Rua dos Burgueses",255,"Partenon",67,2,2,1,405000,6044.77611940299,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.911642074585,1296,2.02022218704224,0,0,0,0,0,186
"5130",6363,"Apartamento com  Quarto a  Venda, 53m2","Rua Guilherme Alves",9999,"Partenon",53,1,1,1,170000,3207.54716981132,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.043553352356,1296,2.02022218704224,0,0,0,0,0,186
"5131",5577,"Apartamento com 2 Quartos a  Venda, 78m2","Rua Monteiro Lobato",460,"Partenon",78,2,2,0,260000,3333.33333333333,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4684371948242,1296,2.02022218704224,0,0,0,0,0,186
"5132",2616,"Apartamento com 2 Quartos a  Venda, 96m2","Rua Goncalves Ledo",452,"Partenon",96,2,2,1,529000,5510.41666666667,20,2817,593.552465233881,36,83.3,570,47460,7.54,13.1787433624268,1296,2.02022218704224,0,0,0,0,0,186
"5133",8747,"Apartamento com 2 Quartos a  Venda, 52m2","sem info",9999,"Partenon",52,2,2,1,365000,7019.23076923077,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8076524734497,1296,2.02022218704224,0,0,0,0,0,186
"5134",4575,"Apartamento com 3 Quartos a  Venda, 70m2","Avenida Bento Goncalves",9999,"Partenon",70,3,1,1,399000,5700,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8967170715332,1296,2.02022218704224,0,0,0,0,0,186
"5135",9403,"Apartamento com 2 Quartos a  Venda, 62m2","Rua Albion",402,"Partenon",62,2,1,0,230000,3709.67741935484,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.3458347320557,1296,2.02022218704224,0,0,0,0,0,186
"5136",8389,"Apartamento com 2 Quartos a  Venda, 83m2","Rua Albion",360,"Partenon",83,2,2,1,373000,4493.97590361446,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8293333053589,1296,2.02022218704224,0,0,0,0,0,186
"5137",6466,"Apartamento com 2 Quartos a  Venda, 63m2","sem info",9999,"Partenon",63,2,1,1,280000,4444.44444444444,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.5425453186035,1296,2.02022218704224,0,0,0,0,0,186
"5138",872,"Apartamento com  Quarto a  Venda, 40m2","Rua Professor Cristiano Fischer",2320,"Partenon",40,1,1,0,145000,3625,20,2817,593.552465233881,36,83.3,570,47460,7.54,11.8844890594482,1296,2.02022218704224,0,0,0,0,0,186
"5139",8742,"Apartamento com 2 Quartos a  Venda, 70m2","Avenida Bento Goncalves",2090,"Partenon",70,2,1,1,280000,4000,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.5425453186035,1296,2.02022218704224,0,0,0,0,0,186
"5140",3107,"Apartamento com 3 Quartos a  Venda, 71m2","Rua Marcone",470,"Partenon",71,3,1,0,233000,3281.69014084507,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.358793258667,1296,2.02022218704224,0,0,0,0,0,186
"5141",1560,"Apartamento com 2 Quartos a  Venda, 65m2","sem info",9999,"Partenon",65,2,1,0,249900,3844.61538461538,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4288158416748,1296,2.02022218704224,0,0,0,0,0,186
"5142",881,"Apartamento com 2 Quartos a  Venda, 65m2","Rua Coronel Jaime da Costa Pereira",450,"Partenon",65,2,1,0,180000,2769.23076923077,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.1007118225098,1296,2.02022218704224,0,0,0,0,0,186
"5143",933,"Apartamento com 2 Quartos a  Venda, 66m2","sem info",9999,"Partenon",66,2,2,1,393000,5954.54545454545,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8815650939941,1296,2.02022218704224,0,0,0,0,0,186
"5144",147,"Apartamento com 2 Quartos a  Venda, 66m2","Avenida Bento Goncalves",9999,"Partenon",66,2,2,1,320000,4848.48484848485,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.6760759353638,1296,2.02022218704224,0,0,0,0,0,186
"5145",6479,"Apartamento com 2 Quartos a  Venda, 67m2","Avenida Bento Goncalves",1515,"Partenon",67,2,1,1,340000,5074.62686567164,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.7367010116577,1296,2.02022218704224,0,0,0,0,0,186
"5146",2942,"Apartamento com 2 Quartos a  Venda, 70m2","Rua Tobias Barreto",262,"Partenon",70,2,2,2,410000,5857.14285714286,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.9239120483398,1296,2.02022218704224,0,0,0,0,0,186
"5147",1278,"Apartamento com 2 Quartos a  Venda, 64m2","sem info",9999,"Partenon",64,2,1,1,219990,3437.34375,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.3013372421265,1296,2.02022218704224,0,0,0,0,0,186
"5148",5212,"Apartamento com  Quarto a  Venda, 52m2","Avenida Bento Goncalves",4517,"Partenon",52,1,1,0,190000,3653.84615384615,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.1547794342041,1296,2.02022218704224,0,0,0,0,0,186
"5149",8690,"Apartamento com 2 Quartos a  Venda, 64m2","sem info",9999,"Partenon",64,2,1,1,380000,5937.5,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8479261398315,1296,2.02022218704224,0,0,0,0,0,186
"5150",1189,"Apartamento com 2 Quartos a  Venda, 63m2","Rua Humberto de Campos",681,"Partenon",63,2,1,0,149000,2365.07936507937,20,2817,593.552465233881,36,83.3,570,47460,7.54,11.9117012023926,1296,2.02022218704224,0,0,0,0,0,186
"5151",8405,"Apartamento com  Quarto a  Venda, 43m2","Rua Ivo Janson",170,"Partenon",43,1,1,1,213000,4953.48837209302,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.2690477371216,1296,2.02022218704224,0,0,0,0,0,186
"5152",7028,"Apartamento com 3 Quartos a  Venda, 78m2","Rua Albion",402,"Partenon",78,3,2,1,320000,4102.5641025641,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.6760759353638,1296,2.02022218704224,0,0,0,0,0,186
"5153",9022,"Apartamento com 3 Quartos a  Venda, 72m2","Avenida Bento Goncalves",8807,"Partenon",72,3,2,1,349900,4859.72222222222,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.7654027938843,1296,2.02022218704224,0,0,0,0,0,186
"5154",5032,"Apartamento com 2 Quartos a  Venda, 64m2","sem info",9999,"Partenon",64,2,1,1,305000,4765.625,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.6280670166016,1296,2.02022218704224,0,0,0,0,0,186
"5155",5901,"Apartamento com 2 Quartos a  Venda, 51m2","Rua Primeiro de Setembro",340,"Partenon",51,2,1,1,250000,4901.96078431373,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.4292163848877,1296,2.02022218704224,0,0,0,0,0,186
"5156",2206,"Apartamento com 3 Quartos a  Venda, 80m2","Rua Albion",402,"Partenon",80,3,2,1,288000,3600,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.5707159042358,1296,2.02022218704224,0,0,0,0,0,186
"5157",6816,"Apartamento com 2 Quartos a  Venda, 79m2","Rua Professor Guerreiro Lima",455,"Partenon",79,2,1,1,385000,4873.41772151899,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8609981536865,1296,2.02022218704224,0,0,0,0,0,186
"5158",3737,"Apartamento com 2 Quartos a  Venda, 68m2","Avenida Bento Goncalves",9999,"Partenon",68,2,1,0,279000,4102.94117647059,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.5389671325684,1296,2.02022218704224,0,0,0,0,0,186
"5159",8162,"Apartamento com 3 Quartos a  Venda, 71m2","Avenida Bento Goncalves",205,"Partenon",71,3,2,1,385000,5422.53521126761,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.8609981536865,1296,2.02022218704224,0,0,0,0,0,186
"5160",326,"Apartamento com 2 Quartos a  Venda, 67m2","Rua Guilherme Alves",125,"Partenon",67,2,3,1,350000,5223.88059701493,20,2817,593.552465233881,36,83.3,570,47460,7.54,12.7656888961792,1296,2.02022218704224,0,0,0,0,0,186
"5161",6286,"Apartamento com 3 Quartos a  Venda, 71m2","Rua Itapeva",362,"Passo da Areia",71,3,2,2,510000,7183.0985915493,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1421661376953,3969,2.29857707023621,0,0,0,0,0,329
"5162",9902,"Apartamento com 3 Quartos a  Venda, 105m2","Rua General Pedro Bittencourt",280,"Passo da Areia",105,3,3,2,698000,6647.61904761905,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.4559745788574,3969,2.29857707023621,0,0,0,0,0,329
"5163",2161,"Apartamento com 3 Quartos a  Venda, 118m2","Avenida Andarae",9999,"Passo da Areia",118,3,2,2,865000,7330.50847457627,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.6704845428467,3969,2.29857707023621,0,0,0,0,0,329
"5164",9073,"Apartamento com 3 Quartos a  Venda, 96m2","Rua General Pedro Bittencourt",9999,"Passo da Areia",96,3,2,2,590000,6145.83333333333,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.287878036499,3969,2.29857707023621,0,0,0,0,0,329
"5165",9301,"Apartamento com 3 Quartos a  Venda, 134m2","Rua Jari",9999,"Passo da Areia",134,3,3,2,1595000,11902.9850746269,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,14.2823839187622,3969,2.29857707023621,0,0,0,0,0,329
"5166",8880,"Apartamento com 2 Quartos a  Venda, 67m2","Avenida Joao Wallig",508,"Passo da Areia",67,2,2,1,320000,4776.11940298507,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.6760759353638,3969,2.29857707023621,0,0,0,0,0,329
"5167",1791,"Apartamento com 2 Quartos a  Venda, 65m2","Avenida Andarae",566,"Passo da Areia",65,2,2,1,550000,8461.53846153846,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.2176733016968,3969,2.29857707023621,0,0,0,0,0,329
"5168",1022,"Apartamento com 3 Quartos a  Venda, 80m2","Rua Bezerra de Menezes",623,"Passo da Areia",80,3,2,2,680000,8500,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.4298477172852,3969,2.29857707023621,0,0,0,0,0,329
"5169",9251,"Apartamento com 3 Quartos a  Venda, 88m2","Rua Brito Peixoto",329,"Passo da Areia",88,3,2,2,530000,6022.72727272727,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1806325912476,3969,2.29857707023621,0,0,0,0,0,329
"5170",9035,"Apartamento com 3 Quartos a  Venda, 76m2","Avenida Cambae",9999,"Passo da Areia",76,3,1,1,210000,2763.15789473684,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.2548627853394,3969,2.29857707023621,0,0,0,0,0,329
"5171",3861,"Apartamento com 3 Quartos a  Venda, 90m2","Rua Roque Calage",9999,"Passo da Areia",90,3,3,2,590000,6555.55555555556,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.287878036499,3969,2.29857707023621,0,0,0,0,0,329
"5172",6258,"Apartamento com  Quarto a  Venda, 27m2","sem info",9999,"Passo da Areia",27,1,1,0,283888,10514.3703703704,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.5563354492188,3969,2.29857707023621,0,0,0,1,0,329
"5173",8319,"Apartamento com 3 Quartos a  Venda, 174m2","Rua Sport Club Sao Jose",45,"Passo da Areia",174,3,2,2,750000,4310.34482758621,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.5278282165527,3969,2.29857707023621,0,0,0,0,0,329
"5174",452,"Apartamento com  Quarto a  Venda, 44m2","Rua Tupinamba",71,"Passo da Areia",44,1,1,1,212000,4818.18181818182,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.2643413543701,3969,2.29857707023621,0,0,0,0,0,329
"5175",7780,"Apartamento com 2 Quartos a  Venda, 78m2","sem info",9999,"Passo da Areia",78,2,2,0,280000,3589.74358974359,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.5425453186035,3969,2.29857707023621,0,0,0,0,0,329
